城市,区域,小区名称,户型分类,户型类型,面积,装修类型,价格,付款方式,更新时间
杭州,西湖,伟星公寓,3室1厅1卫,1.标准平面,20㎡,精装修,1920元/月,押一付一,07-06
杭州,钱塘新区,宝龙云滨湾(别墅),3室1厅1卫,1.标准平面,19㎡,精装修,1850元/月,押一付一,07-12
杭州,萧山,名扬阁,3室1厅1卫,1.标准平面,22㎡,精装修,1110元/月,押一付一,07-12
杭州,下城,星火公寓,3室1厅1卫,1.标准平面,20㎡,精装修,1630元/月,押一付一,07-10
杭州,钱塘新区,东方水岚佳苑,3室1厅1卫,1.标准平面,21㎡,精装修,1490元/月,押一付一,07-12
杭州,钱塘新区,星野花苑四区,3室1厅1卫,1.标准平面,21㎡,精装修,1140元/月,押一付一,07-12
杭州,江干,丁桥景园南苑,3室1厅1卫,1.标准平面,21㎡,精装修,1760元/月,押一付一,07-12
杭州,西湖,古荡湾南苑,3室1厅1卫,1.标准平面,19㎡,精装修,1130元/月,押一付一,07-03
杭州,西湖,文三西路39号,3室1厅1卫,1.标准平面,19㎡,精装修,1940元/月,押一付一,07-12
杭州,西湖,西溪花园红柿苑,3室1厅1卫,1.标准平面,20㎡,精装修,1950元/月,押一付一,07-10
杭州,钱塘新区,星野花苑四区,3室1厅1卫,1.标准平面,21㎡,精装修,1030元/月,押一付一,07-12
杭州,江干,建塘家苑北区,3室1厅1卫,1.标准平面,20㎡,精装修,1610元/月,押一付一,07-04
杭州,拱墅,创道国际洋人街,3室1厅1卫,1.标准平面,20㎡,精装修,2130元/月,押一付一,1天前
杭州,滨江,东方商务会馆,3室1厅1卫,1.标准平面,22㎡,精装修,1810元/月,押一付一,07-13
杭州,拱墅,广宇万科公园里,3室1厅1卫,1.标准平面,18㎡,精装修,1180元/月,押一付一,07-13
杭州,滨江,东方商务会馆,3室1厅1卫,1.标准平面,22㎡,精装修,1810元/月,押一付一,07-13
杭州,拱墅,田园牧歌麓云苑(别墅),3室1厅1卫,1.标准平面,19㎡,精装修,1300元/月,押一付一,07-13
杭州,江干,万科草庄,3室1厅1卫,1.标准平面,18㎡,精装修,1740元/月,押一付一,07-03
杭州,西湖,微博公馆,3室1厅1卫,1.标准平面,19㎡,精装修,1720元/月,押一付一,07-10
杭州,江干,新和嘉苑,3室1厅1卫,1.标准平面,18㎡,精装修,1850元/月,押一付一,07-09
杭州,钱塘新区,东方水岚佳苑,3室1厅1卫,1.标准平面,21㎡,精装修,1490元/月,押一付一,07-12
杭州,余杭,起梦公园,3室1厅1卫,1.标准平面,20㎡,精装修,1100元/月,押一付一,07-10
